time,x,y,H
0.153,23.2692,1429.63,11.1478
0.154,22.6504,1428.53,11.1482
0.155,22.0486,1427.43,11.1485
0.156,21.4632,1426.31,11.1489
0.157,20.8939,1425.19,11.1492
0.158,20.3401,1424.07,11.1496
0.159,19.8015,1422.93,11.1499
0.16,19.2775,1421.79,11.1503
0.161,18.7679,1420.64,11.1507
0.162,18.2722,1419.49,11.151
0.163,17.79,1418.33,11.1514
0.164,17.321,1417.16,11.1517
0.165,16.8647,1415.99,11.1521
0.166,16.4208,1414.81,11.1524
0.167,15.989,1413.63,11.1528
0.168,15.5689,1412.44,11.1531
0.169,15.1602,1411.25,11.1535
0.17,14.7627,1410.05,11.1538
0.171,14.3759,1408.85,11.1542
0.172,13.9996,1407.65,11.1545
0.173,13.6334,1406.44,11.1549
0.174,13.2772,1405.22,11.1552
0.175,12.9306,1404,11.1556
0.176,12.5934,1402.78,11.1559
0.177,12.2652,1401.55,11.1563
0.178,11.946,1400.32,11.1566
0.179,11.6353,1399.09,11.157
0.18,11.333,1397.85,11.1573
0.181,11.0388,1396.61,11.1577
0.182,10.7526,1395.37,11.158
0.183,10.474,1394.13,11.1583
0.184,10.2029,1392.88,11.1587
0.185,9.93907,1391.63,11.159
0.186,9.68232,1390.37,11.1594
0.187,9.43244,1389.12,11.1597
0.188,9.18925,1387.86,11.16
0.189,8.95256,1386.6,11.1604
0.19,8.72219,1385.34,11.1607
0.191,8.49797,1384.07,11.1611
0.192,8.27973,1382.81,11.1614
0.193,8.06731,1381.54,11.1617
0.194,7.86054,1380.27,11.1621
0.195,7.65926,1379,11.1624
0.196,7.46334,1377.72,11.1627
0.197,7.27262,1376.45,11.1631
0.198,7.08696,1375.17,11.1634
0.199,6.90622,1373.89,11.1637
0.2,6.73026,1372.62,11.1641
0.201,6.55896,1371.34,11.1644
0.202,6.39219,1370.05,11.1647
0.203,6.22982,1368.77,11.165
0.204,6.07173,1367.49,11.1654
0.205,5.91782,1366.2,11.1657
0.206,5.76795,1364.92,11.166
0.207,5.62203,1363.63,11.1664
0.208,5.47995,1362.35,11.1667
